id,title_ko,title_en,event_type_ko,event_type_en,date_start,date_end,location_ko,location_en,scale,comment_ko,comment_en,main_image,sub_images,region,display_order,created_at,updated_at,is_international,is_pinned
316,제7차 국가관광전략회의,7th National Tourism Strategy Conference,컨퍼런스,Conference,2022-12-12,2022-12-12,한국관광공사 하이커그라운드,"Korea Tourism Organization HiKR Ground, Seoul",소규모,국가 관광 정책 방향을 논의하는 정부 전략회의,Government strategy conference on national tourism policy direction,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588957462-qsg2myqrla8.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588978440-7ann19u46ej.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589024349-t5fnu9kcpw9.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589056246-vsxtm4bc3zf.jpg""]",KR,11,2026-03-24 06:16:33.152+00,2026-03-27 05:24:20.442+00,false,false
317,한중 지방정부 협력 교류회,Korea-China Local Government Cooperation Exchange,네트워킹,Networking,2022-12-13,2022-12-13,그랜드 인터컨티넨탈 서울 파르나스,Grand InterContinental Seoul Parnas,소규모,한국과 중국 지방정부 간 협력 네트워킹 교류회,Networking exchange between Korean and Chinese local governments,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589329522-2x8m8u39az.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589343985-69kgqd2hebd.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589378931-i1uioor1rl8.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774589424431-gpu8vb9ilof.jpg""]",KR,12,2026-03-24 06:16:33.152+00,2026-03-27 05:30:28.536+00,true,false
318,MICE DT 우수사례 발표회,MICE Digital Transformation Best Practice Showcase,컨퍼런스,Conference,2022-12-14,2022-12-14,SKY컨벤션오디토리움,"SKY Convention Auditorium, Seoul",소규모,MICE 산업 디지털 전환 우수 사례를 공유하는 발표회,Showcase presenting best practices in MICE industry digital transformation,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588824567-jbyyqj3p9gp.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588833651-8z20qm9n3sp.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588841259-u2cxlceq7a.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588859589-1z38w505huvi.jpg""]",KR,13,2026-03-24 06:16:33.152+00,2026-03-27 05:21:04.605+00,false,false
319,2022 대한민국 마케팅 데이,2022 Korea Marketing Day,컨퍼런스,Conference,2022-12-14,2022-12-14,코엑스 아셈볼룸,"COEX ASEM Ballroom, Seoul",대규모,마케팅 업계 종사자들이 한자리에 모이는 연례 컨퍼런스,Annual conference bringing together marketing industry professionals,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588475036-32wkv2mhydz.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588491049-9861fjve3.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588508014-ngmwtgxewes.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774588548841-6ksmrymr2xr.jpg""]",KR,14,2026-03-24 06:16:33.152+00,2026-03-27 05:15:54.091+00,false,false
320,2023 한국전시서비스업협회 네트워킹 및 만찬회,2023 Korea Exhibition Services Association Networking & Dinner,네트워킹,Networking,2023-02-08,2023-02-08,코엑스 컨퍼런스룸,"COEX Conference Room, Seoul",소규모,전시 서비스 업계 종사자들의 연례 네트워킹 만찬,Annual networking dinner for exhibition services industry professionals,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774402843471-3oa5pzoymh6.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774402854105-1b2avmycvhi.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774402866280-oui9gdbqghn.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774402879004-37ijzls1fdy.jpg""]",KR,15,2026-03-24 06:16:33.152+00,2026-03-25 01:41:22.689+00,false,false
321,제1회 마이스 테크 포럼,1st MICE Tech Forum,포럼,Forum,2023-02-22,2023-02-22,서울창업허브 엠플러스,"Seoul Startup Hub M+, Seoul",소규모,MICE 산업과 기술의 융합을 논의하는 첫 번째 포럼,Inaugural forum exploring the convergence of technology and MICE industry,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774402961341-lhn5wlmdrqd.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774402966480-wcctgfvf0e.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774402991426-in5w95is1qf.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774403021698-l3xg1uy0je8.jpg""]",KR,17,2026-03-24 06:16:33.152+00,2026-03-25 01:43:51.383+00,false,false
322,김승호의 기초사장학개론,Kim Seung-ho's Fundamentals of Entrepreneurship,세미나,Seminar,2023-02-25,2023-02-25,포스코센터,"POSCO Center, Seoul",대규모,베스트셀러 작가 김승호의 창업 강연 행사,Entrepreneurship lecture event by bestselling author Kim Seung-ho,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774404145596-mtazgzmpybk.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774403500759-nbzai449308.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774403525838-3musaswrovs.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774404176220-oop41guk8f.jpg""]",KR,18,2026-03-24 06:16:33.152+00,2026-03-25 02:03:03.645+00,false,false
323,2023 서울특별시 치과기공사회 학술대회,2023 Seoul Dental Technicians Association Academic Conference,학술대회,Academic Conference,2023-04-08,2023-04-08,더케이호텔,"The K Hotel, Seoul",중규모,치과기공 분야 최신 연구와 기술을 공유하는 학술대회,Academic conference sharing the latest research and techniques in dental technology,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774403898063-mj95870ouu.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774403912343-pwggkxhr1x.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774404036304-5gvdtllpram.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774404055206-3tmao05343o.jpg""]",KR,19,2026-03-24 06:16:33.152+00,2026-03-25 02:00:59.838+00,false,false
324,ASK 2023,ASK 2023 (Alterative & Smart Korea Conference),컨퍼런스,Conference,2023-05-17,2023-05-19,콘래드 서울,Conrad Seoul,대규모,국내외 대체투자 및 스마트 금융 업계가 모이는 대형 컨퍼런스,Large-scale conference for alternative investment and smart finance professionals,,[],KR,20,2026-03-24 06:16:33.152+00,2026-03-24 06:16:33.152+00,true,false
325,2023 제1회 춘천창업엑스포,2023 1st Chuncheon Startup Expo,박람회,Expo,2023-05-19,2023-05-19,춘천 애니메이션박물관,"Chuncheon Animation Museum, Chuncheon",중규모,강원 지역 창업 생태계를 한눈에 볼 수 있는 첫 번째 엑스포,Inaugural expo showcasing the startup ecosystem of Gangwon Province,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774587837687-npfvn2ketz.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774587857032-2svwotrh5f8.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774587901185-plmze8ndt.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774587966555-i5xpb0dsn4m.jpg""]",KR,21,2026-03-24 06:16:33.152+00,2026-03-27 05:06:11.548+00,false,false
326,기후행동 컨퍼런스 2023,Climate Action Conference 2023,컨퍼런스,Conference,2023-03-23,2023-03-23,서울 풀만호텔,Pullman Seoul G.EX Hotel,중규모,기후위기 대응을 위한 국내외 전문가들의 국제 컨퍼런스,International conference of domestic and global experts addressing the climate crisis,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419725280-mmwbjmclg6.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419738717-ld9pk4hz6pc.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419754870-w6ayhphuqub.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419768207-vyfxqwhj21r.jpg""]",KR,39,2026-03-24 06:16:33.152+00,2026-03-25 06:23:06.243+00,true,false
327,리월드포럼 2023,ReWorld Forum 2023,포럼,Forum,2023-04-26,2023-04-26,서울드래곤시티,Seoul Dragon City Hotel,중규모,지속가능한 미래를 위한 재생 경제 포럼,Regenerative economy forum for a sustainable future,,[],KR,40,2026-03-24 06:16:33.152+00,2026-03-24 06:16:33.152+00,false,false
328,제56차 아시아개발은행 연차총회,56th ADB Annual Meeting,총회,General Assembly,2023-05-02,2023-05-05,송도컨벤시아,"Songdo Convensia, Incheon",대규모,아시아 68개국 대표단이 참가하는 ADB 연례 최대 국제회의,ADB's largest annual international meeting attended by delegations from 68 Asian nations,,[],KR,41,2026-03-24 06:16:33.152+00,2026-03-24 06:16:33.152+00,true,false
329,제20회 자동차의날,20th Automobile Day Ceremony,,,2023-05-11,2023-05-11,그랜드하얏트서울,Grand Hyatt Seoul,중규모,자동차 산업 발전을 기념하는 제20회 연례 기념행사,20th annual ceremony commemorating the development of the automotive industry,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419894434-j4dibfpliu.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774415060352-ehdl8oet6r8.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774415089547-fpuowc8ugrm.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774419917940-vbz24x9j2k.jpg""]",KR,42,2026-03-24 06:16:33.152+00,2026-03-25 06:25:21.857+00,false,false
330,제7회 글로벌 푸드 트렌드 & 테크 컨퍼런스,7th Global Food Trend & Tech Conference,컨퍼런스,Conference,2023-05-31,2023-05-31,일산 킨텍스,"KINTEX, Goyang",중규모,글로벌 푸드테크 트렌드를 선도하는 연례 컨퍼런스,Annual conference leading global food-tech trends,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774415353901-i9uo4413kf.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774415290334-7y6vealygze.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774415308256-5oegzwuezqb.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774415364742-2vnyvnz6hqm.jpg""]",KR,43,2026-03-24 06:16:33.152+00,2026-03-25 05:09:31.882+00,true,false
331,GCIM 2023,GCIM 2023 (Global Congress on Integrative Medicine),컨퍼런스,Conference,2023-06-06,2023-06-09,ICC JEJU,"ICC JEJU, Jeju",대규모,통합의학 분야 글로벌 전문가들이 모이는 국제 학술 컨퍼런스,International academic conference gathering global experts in integrative medicine,,[],KR,44,2026-03-24 06:16:33.152+00,2026-03-24 06:16:33.152+00,true,false
332,TÜV Rheinland Automotive TechDay,TÜV Rheinland Automotive TechDay,컨퍼런스,Conference,2023-06-08,2023-06-08,그랜드 인터컨티넨탈 서울 파르나스,Grand InterContinental Seoul Parnas,중규모,글로벌 인증기관 TÜV 라인란드의 자동차 기술 컨퍼런스,Automotive technology conference hosted by global certification body TÜV Rheinland,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774587301749-a2jfb25e7h4.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774587310105-ecncb5oz6g7.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774587328690-mcrrb0wnzg.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774587343746-y66w0jgg8zk.jpg""]",KR,45,2026-03-24 06:16:33.152+00,2026-03-27 04:55:49.93+00,true,false
333,IDEN 2023,IDEN 2023 (International Defense & Security Exhibition),컨퍼런스,Conference,2023-06-09,2023-06-09,그랜드워커힐 서울,Grand Walkerhill Seoul,중규모,국방·안보 분야 국제 전문가들이 참가하는 컨퍼런스,Conference for international experts in defense and security,,[],KR,46,2026-03-24 06:16:33.152+00,2026-03-24 06:16:33.152+00,true,false
334,QUANTUM KOREA 2023,Quantum Korea 2023,컨퍼런스,Conference,2023-06-26,2023-06-28,서울 동대문 DDP,"DDP, Seoul",대규모,양자 기술 분야 글로벌 리더들이 모이는 국제 컨퍼런스,International conference gathering global leaders in quantum technology,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774416496409-g7zg3zg2dsb.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774416537627-f50c5b9hhwo.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774416571620-r8ji1zus5f.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774416596210-nev4uklbuu8.jpg""]",KR,47,2026-03-24 06:16:33.152+00,2026-03-25 05:30:03.019+00,true,false
335,XIX WFD (제19회 세계농아인대회),XIX WFD (19th World Federation of the Deaf Congress),총회,General Assembly,2023-07-11,2023-07-19,ICC JEJU,"ICC JEJU, Jeju",대규모,전 세계 농아인 대표단이 참가하는 국제 연맹 총회,World Federation of the Deaf general assembly attended by delegations worldwide,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774498999677-8m9vv0cdpau.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774499013032-mxtc14fb3wi.png"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774499018781-xb1jd449c2e.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774499025908-yjgly548wj.jpg""]",KR,48,2026-03-24 06:16:33.152+00,2026-03-26 04:23:51.328+00,true,false
336,제8회 심장혈관영상CT 서밋,8th Cardiovascular Imaging CT Summit,학술대회,Academic Conference,2023-07-14,2023-07-14,가톨릭대학교 서울성모병원 옴니버스파크,"Seoul St. Mary's Hospital, Seoul",소규모,심장혈관 영상 분야 최신 기술을 공유하는 의학 서밋,Medical summit sharing the latest cardiovascular imaging CT technologies,,[],KR,49,2026-03-24 06:16:33.152+00,2026-03-27 02:22:38.986+00,false,false
337,한국MICE협회 창립 20주년 기념식,Korea MICE Association 20th Anniversary Ceremony,,,2023-08-18,2023-08-18,플로팅아일랜드,"Floating Island, Seoul",중규모,한국 MICE 산업을 이끌어 온 협회의 창립 20주년 기념 행사,20th anniversary ceremony of the association leading Korea's MICE industry,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774499576454-w1f7r6c8io.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774499593727-3lt8qidxbi9.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774499598398-t2v3vecahb.jpg""]",KR,50,2026-03-24 06:16:33.152+00,2026-03-26 04:33:30.472+00,false,false
338,강원 콘텐츠 페스타,Gangwon Content Festa,기타,Other,2023-09-08,2023-09-10,KT&G 상상마당 춘천 스테이,KT&G Sangsangmadang Chuncheon Stay,중규모,강원 지역 문화콘텐츠를 선보이는 복합 문화 축제,Multi-genre cultural festival showcasing Gangwon's creative content scene,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774499991449-3dktn0pu14z.png,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774499991759-gcfonnj1bv.png"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774499996958-7ehu0gysfq3.png""]",KR,51,2026-03-24 06:16:33.152+00,2026-03-26 04:40:02.992+00,false,false
339,2023 KSP 성과공유 컨퍼런스,2023 KSP Dissemination Conference,컨퍼런스,Conference,2023-09-11,2023-09-11,웨스틴조선호텔 서울,Westin Chosun Seoul,중규모,KDI 경제발전경험 공유 사업의 성과를 공유하는 국제 컨퍼런스,International conference sharing outcomes of KDI's knowledge-sharing program,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774500139517-fhug97aljlh.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774500142584-8u0dbmlealu.jpeg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774500148518-tw43hmhim8o.jpg"",""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774500152274-eue51fxldsl.jpg""]",KR,52,2026-03-24 06:16:33.152+00,2026-03-26 04:42:37.306+00,true,false
340,AFLAS CONGRESS,AFLAS Congress (Asian Federation of Laboratory Animal Science),학술대회,Academic Conference,2023-09-13,2023-09-16,ICC JEJU,"ICC JEJU, Jeju",대규모,아시아 실험동물과학 연합의 국제 학술 총회,International academic congress of the Asian Federation of Laboratory Animal Science,https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774500646772-3jj61tep3dc.jpg,"[""https://ztqxwbagbqenrcvjrkrh.supabase.co/storage/v1/object/public/portfolio/1774500852555-o3q6h7tc6wr.jpeg""]",KR,53,2026-03-24 06:16:33.152+00,2026-03-26 04:54:16.904+00,true,false
